"source","target"
"CREATE_MANAGER","Crear gerente"
"MANAGER","Gerente"
"NAME","Nombre"
"SURNAME","Apellido"
"YOUR_NAME","Tu nombre"
"YOUR_SURNAME","Tu apellido"
"PLAYER_NAMES","Nombres de jugadores"
"BIRTH_DATE","Fecha de nacimiento"
"START_YEAR","Año de inicio"
"FAV_TEAM","Equipo favorito"
"NATIONALITY","Nacionalidad"
"BACK","Volver"
"CONTINUE","Sigue"
"CANCEL","Cancelar"
"FIELD","Campo"
"STATS","Estadísticas"
"POSSESSION","Posesión"
"SHOTS","Tiros"
"SHOTS_ON_TARGET","Tiros a la portería"
"FOULS","Faltas"
"FREE_KICKS","Tiros libres"
"PAUSE","Pausa"
"PENALTIES","Penaltis (6m)"
"PENALTIES_10M","Penaltis (10m)"
"TACKLES","Entradas"
"TACKLES_SUCCESS","Entradas exitosas"
"PASSES","Pases"
"PASSES_SUCCESS","Pases exitosss"
"KICK_INS","Saques de banda"
"CORNERS","Tiros de esquina"
"YELLOW_CARDS","Tarjetas amarillas"
"RED_CARDS","Tarjetas rojas"
"SIMULATE","Simular"
"EVENTS","Eventos"
"TACTICS","Tácticas"
"FORMATION","Formación"
"COMMENTARY","Comentario"
"CHANGE_STRATEGY","Cambiar estrategia"
"AUTO","Automático"
"MANUAL","Manual"
"START","Comenzar"
"CALENDAR","Calendario"
"TABLE","Tabla"
"EMAIL","Correo electrónico"
"SEARCH_PLAYER","Buscar jugador"
"MENU","Menú"
"SETTINGS","Configuración"
"START_MATCH","Comenzar partido"
"NEXT_DAY","Próximo día"
"NEXT_MATCH","Próximo partido"
"WELCOME","Bienvenido"
"MALE","Masculino"
"FEMALE","Femenino"
"MIXED","Mixto"
"WORLD","Mundo"
"CONTINENTS","Continentes"
"ITALY","Italia"
"SPAIN","España"
"ROMANIA","Rumania"
"NEW_GAME","Nuevo juego"
"LOAD_GAME","Cargar juego"
"DARK","Oscuro"
"LIGHT","Luminoso"
"SOLARIZED_LIGHT","Solarized luminoso"
"SOLARIZED_DARK","Solarized oscuro"
"HACKER","Hacker"
"RED","Rojo"
"CUSTOM","Personalizado"
"DEFAULT_SETTINGS","Configuración predeterminada"
"THEME","Tema"
"RESOLUTION","Resolución"
"VERSION","Versión"
"DELETE","Eliminar"
"TEAM","Equipo"
"TABLE_PLACEMENT","Posición en la tabla"
"LAST_SAVE","Último guardado"
"CREATED","Creado"
"GAME_DATE","Fecha del juego"
"STAR","Estrella"
"SUBJECT","Asunto"
"FROM","De"
"TO","A"
"DATE","Fecha"
"UNREAD","No leído"
"STARRED","Marcados"
"SEARCH","Buscar"
"INFO","Info"
"PLAYERS","Jugadores"
"PLAYER","Jugador"
"SEED","Código"
"START_DATE","Fecha de inicio"
"COPY","Copiar"
"MONDAY","Lunes"
"TUESDAY","Martes"
"WEDNESDAY","Miércoles"
"THURSDAY","Jueves"
"FRIDAY","Viernes"
"SATURDAY","Sabado"
"SUNDAY","Domingo"
"MON","Lun"
"TUE","Mar"
"WED","Mie"
"THU","Jue"
"FRI","Vie"
"SAT","Sab"
"SUN","Dom"
"JANUARY","Enero"
"FEBRUARY","Febrero"
"MARCH","Marzo"
"APRIL","Abril"
"MAY","Mayo"
"JUNE","Junio"
"JULY","Julio"
"AUGUST","Agosto"
"SEPTEMBER","Septiembre"
"OCTOBER","Octubre"
"NOVEMBER","Noviembre"
"DECEMBER","December"
"JAN","Ene"
"FEB","Feb"
"MAR","Mar"
"APR","Abr"
"JUN","Jun"
"JUL","Jul"
"AUG","Ago"
"SEP","Sep"
"OCT","Oct"
"NOV","Nov"
"DEC","Dic"
"GENERATION_SEED","Codigo de generacion"
"GENERATION_SEED_DESCRIPTION","Código de generación descripción"
"PLAYED","Jugado"
"WIN","Ganado"
"DRAW","Empatado"
"LOST","Pérdido"
"GOALS","Goles"
"GOALS_CONCEDED","Goles concedidos"
"POINTS","Puntos"
"TACTIC_OFFENSE","Táctica ofensiva"
"TACTIC_DEFENSE","Táctica defensiva"
"INTENSITY","Intensidad"
"MARKING","Marcado"
"PRESSING","Presión"
"CUT_INSIDE","Cortar por dentro"
"ROTATION","Rotación"
"ZONE","Zona"
"FULL_COURT","Cancha completa"
"HALF_COURT","Cancha media"
"NO_PRESS","No presión"
"SUBS","Cambios"
"REST","Resto"
"ALL_POS","Todas las posiciones"
"G","P"
"DL","DI"
"DR","DD"
"DC","DC"
"C","C"
"WL","BI"
"WR","BD"
"PL","PI"
"PR","PD"
"PC","PC"
"ALL_LEAGUES","Todas las ligas"
"ALL_TEAMS","Todos los equipos"
"LOADING_GAME","Cargando tu juego…"
"SAVING_GAME","Guardando tu juego…"
"EXIT","Salir"
"RANDOM","Aleatorio"
"DEFAULT","Predeterminado"
"INITIALIZE_GAME","Iniciando juego…"
"GENERATING_PLAYERS","Generando todos los jugadores…"
"SELECT","Selecciona"
"BUDGET","Presupuesto"
"SALARY_BUDGET","Presupuesto salarial"
"STADIUM","Estadio"
